state,participant,segment,duration_s,eda_mean,eda_std,eda_min,eda_max,eda_range,hr_mean,hr_std,hr_min,hr_max,hr_range,acc_mean,acc_std,bvp_mean,bvp_std,temp_mean,temp_std,ibi_mean,ibi_std,ibi_rmssd
STRESS,S07,11,36.0,0.3283923819444445,0.03790223193900703,0.07175,0.558627,0.486877,92.33222222222223,4.5469514274897005,83.5,98.22,14.719999999999999,62.77472234423294,0.16555276789214254,-0.15781250000000002,32.51795087705592,30.294999999999998,0.012801909579780741,0.7146381578947368,0.09400214246173394,0.05182226234930312
STRESS,S08,0,176.0,0.34083761647727273,0.030630328137953498,0.271642,0.397213,0.125571,71.26380681818182,6.84072553528092,61.62,82.73,21.110000000000007,61.46622795179449,0.5395653917417418,0.040645419034090816,43.51377888528085,33.43386363636364,0.07110222823163949,0.9619140625,0.04653809592751506,0.04841229182759271
STRESS,S08,1,145.0,0.4922365758620689,0.06955602752903667,0.383118,0.647072,0.26395399999999997,74.89206896551725,4.249798842550117,67.98,81.75,13.769999999999996,61.71968398989534,0.7484399033509078,-0.018483836206896618,36.06935551160248,33.421655172413786,0.05568400740017426,0.8337673611111112,0.0840345479796695,0.046801585702791894
STRESS,S08,2,105.0,0.5736603357142858,0.046978945725709945,0.467953,0.799817,0.331864,69.11390476190476,1.5566236326700322,66.35,71.8,5.450000000000003,61.55587734525584,0.1563540493775156,0.16616964285714284,11.448953536647641,33.358380952380955,0.029796893718698363,0.8578673245614035,0.05580082669787779,0.04265174951541453
STRESS,S08,3,289.0,0.5229113953287197,0.10673266835353336,0.360321,0.751127,0.390806,63.548719723183396,5.177102510325033,57.63,73.82,16.18999999999999,61.60895494431532,0.39774429382983756,-0.042132352941176454,22.71336464041113,33.05238754325259,0.0842112312647605,1.0138056506849316,0.06443676886106792,0.051348989766109326
STRESS,S08,4,155.0,0.44592419516129034,0.05474874461281879,0.365446,0.929232,0.5637859999999999,68.68690322580646,1.7986635066041654,65.82,71.87,6.050000000000011,61.57811547835562,0.21297492213324798,0.010440524193548437,15.12187893076334,33.01509677419355,0.08815944310707276,0.8543971238938053,0.061674074255817446,0.05364113768168713
STRESS,S08,5,268.0,0.42454285541044773,0.040064583558441856,0.366728,0.506393,0.13966499999999998,70.19186567164178,11.368781073027728,60.45,93.78,33.33,61.45242722319424,0.5855340822844467,-0.029326609141791034,23.930853452960605,32.903432835820894,0.05882055277937764,0.9378063725490197,0.08257294376432851,0.0578558248045587
STRESS,S08,6,32.0,0.5478857500000001,0.17347215670078547,0.364165,0.957421,0.593256,65.0209375,1.1055523488708032,63.18,67.63,4.449999999999996,61.74781412518783,0.5772827706468046,-0.09571289062499999,48.28189959999476,33.010625000000005,0.05792977969058771,,,
STRESS,S08,8,33.0,1.440422515151515,0.2405538917273193,0.925457,1.827613,0.902156,75.94636363636366,2.7466307935821024,71.08,78.93,7.8500000000000085,62.22827643914554,0.8716072657306564,0.3032575757575757,49.52145750961735,32.875454545454545,0.05033770254511675,,,
STRESS,S08,9,33.0,1.7104683636363636,0.05589116023878433,1.605943,1.860928,0.254985,77.05212121212122,0.7209705477772091,75.05,78.15,3.1000000000000085,61.614464665535664,0.1234303045774927,-0.06632102272727254,28.33471877780015,32.83606060606061,0.018899958944863175,0.8935546875,0.11364687090760503,0.07114667215220494
